"taxon"	"Número de pétalas "	"Inserção das folhas"	"Cores principais da flor/inflorescência"	"Espinescência"	"Porte"	"Consistência do fruto"	"Simetria do perianto"
"Acer monspessulanum"	"Flores com 5 pétalas"	"Folhas opostas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Árvore"	"Fruto seco"	"Simetria radial"
"Acer pseudoplatanus"	"Flores com 4 pétalas,Flores com 5 pétalas"	"Folhas opostas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Árvore"	"Fruto seco"	"Simetria radial"
"Adiantum capillus-veneris"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Aizoon hispanicum"	"Flores com 4 pétalas,Flores com 5 pétalas"	"Folhas alternas,Folhas opostas"	"Flores creme ou amarelo-limão,Flores brancas,Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Mesembryanthemum nodiflorum"	"Flores com 5 pétalas,Flores com 4 pétalas,Flores com mais de 6 pétalas"	"Folhas opostas,Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Alisma lanceolatum"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Alisma plantago-aquatica"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Baldellia alpestris"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Baldellia repens subsp. baetica"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Baldellia repens subsp. repens"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Baldellia repens"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Damasonium alisma"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Damasonium bourgaei"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Damasonium polyspermum"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores rosa"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Sagittaria sagittifolia"	"Flores com 3 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Amaranthus blitum subsp. blitum"	"Flores com 3 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Amaranthus graecizans subsp. silvestris"	"Flores com 3 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Leucojum autumnale"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Leucojum trichophyllum"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus asturiensis"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus bulbocodium subsp. obesus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus bulbocodium subsp. bulbocodium"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus bulbocodium"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus calcicola"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus cavanillesii"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus cyclamineus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus fernandesii"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus gaditanus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus jonquilla"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus papyraceus subsp. papyraceus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus papyraceus subsp. panizzianus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus papyraceus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus pseudonarcissus subsp. confusus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus pseudonarcissus subsp. nobilis"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus pseudonarcissus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus pseudonarcissus subsp. portensis"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus pseudonarcissus subsp. major"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus rupicola"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus scaberulus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus serotinus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus tazetta subsp. tazetta"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas,Flores brancas,Flores creme ou amarelo-limão"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus triandrus subsp. pallidulus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores creme ou amarelo-limão,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus triandrus subsp. triandrus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus triandrus"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores creme ou amarelo-limão,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Narcissus willkommii"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Pancratium maritimum"	"Flores com 6 pétalas"	"Folhas todas basais"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Pistacia lentiscus"	"Flores sem perianto"	"Folhas alternas"	"Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Arbusto ou subarbusto,Árvore"	"Fruto carnudo"	"NA"
"Pistacia terebinthus"	"Flores sem perianto"	"Folhas alternas"	"Flores vermelhas ou alaranjadas"	"Sem espinhos"	"Arbusto ou subarbusto,Árvore"	"Fruto carnudo"	"NA"
"Ammi majus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial,Ambas as simetrias"
"Ammi visnaga"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ammoides pusilla"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Angelica major"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Angelica pachycarpa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Angelica sylvestris"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anthriscus caucalis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Anthriscus sylvestris"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Apium graveolens"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Apium inundatum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Apium nodiflorum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Apium repens"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Berula erecta"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bifora testiculata"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bunium bulbocastanum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Bunium macuca subsp. macuca"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bunium pachypodum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Bupleurum acutifolium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Bupleurum fruticosum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Bupleurum gerardi"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum lancifolium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum rigidum subsp. paniculatum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum rigidum subsp. rigidum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum rigidum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum rotundifolium"	"Flores com 5 pétalas"	"Folhas alternas"		"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum semicompositum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Bupleurum tenuissimum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Cachrys libanotis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Cachrys sicula"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Caropsis verticillato-inundata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Carum verticillatum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Caucalis platycarpos"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Chaerophyllum temulum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Conium maculatum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Conopodium majus subsp. marizianum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Conopodium marianum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Conopodium pyrenaeum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Conopodium subcarneum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Crithmum maritimum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Daucus carota subsp. halophilus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Daucus carota subsp. carota"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Daucus carota"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Daucus carota subsp. gummifer"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Daucus carota subsp. maximus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Daucus crinitus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Daucus durieua"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Daucus muricatus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Daucus setifolius"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Distichoselinum tenuifolium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Elaeoselinum foetidum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Eryngium campestre"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Eryngium corniculatum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Eryngium dilatatum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Eryngium duriaei"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores esverdeadas ou acastanhadas"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Eryngium galioides"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Espinhos somente na inflorescência,Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Eryngium maritimum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Eryngium tenue"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Eryngium viviparum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos,Espinhos somente na inflorescência"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Ferula communis subsp. catalaunica"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Ferula tingitana"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Ferulago capillaris"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Foeniculum vulgare"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Heracleum sphondylium subsp. granatense"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Heracleum sphondylium subsp. sphondylium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Heracleum sphondylium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Hydrocotyle vulgaris"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Kundmannia sicula"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Lagoecia cuminoides"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Laserpitium eliasii subsp. thalictrifolium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Laserpitium prutenicum subsp. dufourianum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Magydaris panacifolia"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Margotia gummifera"	"Flores com 5 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Myrrhoides nodosa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Oenanthe crocata"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Oenanthe fistulosa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Oenanthe globulosa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Oenanthe lachenalii"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Oenanthe pimpinelloides"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Oenanthe silaifolia"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Orlaya daucoides"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Petroselinum segetum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Peucedanum carvifolia"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Peucedanum gallicum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Peucedanum lancifolium"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Peucedanum officinale subsp. officinale"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Peucedanum oreoselinum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Physospermum cornubiense"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Pimpinella villosa"	"Flores com 5 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Prangos trifida"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Pseudorlaya minuscula"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Pseudorlaya pumila"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Ridolfia segetum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Sanicula europaea"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Scandix australis subsp. australis"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Scandix pecten-veneris subsp. pecten-veneris"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Selinum broteri"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Seseli montanum subsp. peixotoanum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Seseli tortuosum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Smyrnium olusatrum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Smyrnium perfoliatum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Thapsia minor"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Thapsia nitida var. nitida"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Thapsia nitida var. meridionalis"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Thapsia nitida"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Thapsia transtagana"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Thapsia villosa var. villosa"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Thapsia villosa var. dissecta"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
"Thapsia villosa"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias,Simetria radial"
