"taxon"	"Número de pétalas "	"Inserção das folhas"	"Cores principais da flor/inflorescência"	"Espinescência"	"Porte"	"Consistência do fruto"	"Simetria do perianto"
"Sonchus asper subsp. glaucescens"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos,Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Sonchus asper"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos,Folhas com margem ou ponta espinhosa"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Sonchus maritimus subsp. aquatilis"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Sonchus maritimus subsp. maritimus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"		"Fruto seco"	"Simetria bilateral"
"Sonchus maritimus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Sonchus oleraceus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Sonchus tenerrimus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Staehelina dubia"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores rosa"	"Sem espinhos"	"Arbusto ou subarbusto"	"Fruto seco"	"Simetria radial"
"Tanacetum annuum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Tanacetum corymbosum subsp. corymbosum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Tanacetum gracilicaule"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Ambas as simetrias"
"Tanacetum microphyllum"	"Flores com 5 pétalas"	"Folhas alternas"	"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Tanacetum mucronulatum"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores brancas,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Ambas as simetrias"
"Taraxacum adamii"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum algarbiense"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum braun-blanquetii"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum catalanum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum duriense"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum ekmanii"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum fulvum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum hellenicum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum lacistophyllum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum lainzii"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum lucipedatum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum lusitanicum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum malato-belizii"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum marginellum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum merinoi"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum minimum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum nordstedtii"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum obovatum subsp. ochrocarpum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum panalpinum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum perminiatum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum pinto-silvae"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum pseudomarklundii"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum stenospermum"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum sundbergii"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Taraxacum triforme"	"Flores com 5 pétalas"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Tolpis barbata"	"Flores com 5 pétalas"	"Folhas todas basais,Folhas alternas"	"Flores amarelas,Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Tragopogon crocifolius subsp. crocifolius"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores amarelas,Flores púrpura, grená ou praticamente pretas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Tragopogon dubius"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Tragopogon hybridus"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores roxas, violetas ou lilases"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Urospermum picroides"	"Flores com 5 pétalas"	"Folhas alternas"	"Flores creme ou amarelo-limão,Flores amarelas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria bilateral"
"Volutaria crupinoides"	"Flores com 5 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Simetria radial"
"Xanthium spinosum"	"Flores com 5 pétalas,Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Caules com acúleos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Xanthium strumarium subsp. italicum"	"Flores com 5 pétalas,Flores sem perianto"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Xanthium strumarium subsp. strumarium"	"Flores com 5 pétalas,Flores sem perianto"	"Folhas alternas"	"NA"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Xanthium strumarium"	"Flores com 5 pétalas,Flores sem perianto"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Herbácea"	"Fruto seco"	"Simetria radial"
"Xeranthemum cylindraceum"	"Flores com 5 pétalas"		"NA"	"Sem espinhos"		"Fruto seco"	"Ambas as simetrias"
"Athyrium filix-femina"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Cystopteris dickieana"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Cystopteris fragilis subsp. fragilis"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Cystopteris viridula"	"NA"	"Folhas todas basais"	"NA"	"Sem espinhos"	"Herbácea"	"NA"	"NA"
"Alnus glutinosa"	"Flores sem perianto,Flores com 4 pétalas"	"Folhas alternas"	"Flores esverdeadas ou acastanhadas"	"Sem espinhos"	"Árvore"	"Fruto seco"	"Simetria radial"
"Betula pubescens subsp. carpatica"	"Flores sem perianto"		"NA"	"Sem espinhos"	"Árvore"	"Fruto seco"	"NA"
"Betula pubescens subsp. celtiberica"	"Flores sem perianto"		"NA"	"Sem espinhos"	"Árvore"	"Fruto seco"	"NA"
